epoch,loss,precision,batch
0,0,0,0
0,2.3055524826049805,0.43373551786170034,0
0,2.266873359680176,0.44113624421484493,300
0,2.2278151512145996,0.44887027519083095,600
0,2.165118932723999,0.4618683920249457,900
1,2.1694345474243164,0.4609496060562234,0
1,2.116806745529175,0.4724096812862398,300
1,2.035707950592041,0.4912295988769764,600
1,1.8978956937789917,0.5268993460904333,900
2,1.916433572769165,0.5218025890430642,0
2,1.8126198053359985,0.5516876716541413,300
2,1.6826499700546265,0.5943006672787302,600
2,1.5082125663757324,0.6630365124214697,900
3,1.5082125663757324,0.6630365124214697,937
