epoch,loss,precision,batch
0,0,0,0
0,2.3037188053131104,0.43408075573011823,0
0,2.26430082321167,0.441637431629604,300
0,2.2237911224365234,0.44968252184779745,600
0,2.1439461708068848,0.46642962104950847,900
1,2.1685853004455566,0.46113012008083815,0
1,2.101820707321167,0.4757779750274369,300
1,2.0206387042999268,0.4948930246025656,600
1,1.8629584312438965,0.536780629792314,900
2,1.9187980890274048,0.5211595767780222,0
2,1.7879225015640259,0.559308358793643,300
2,1.6540523767471313,0.6045757764736601,600
2,1.475509762763977,0.6777318762884799,900
3,1.475509762763977,0.6777318762884799,937
