epoch,loss,precision,batch
0,0,0,0
0,2.2972495555877686,0.43530316398043334,0
0,2.269714593887329,0.44058402879954384,300
0,2.2310197353363037,0.44822552851566777,600
0,2.1707186698913574,0.4606769241313289,900
1,2.1648600101470947,0.46192363261957686,0
1,2.1214792728424072,0.47136920581843667,300
1,2.041890859603882,0.4897421403776673,600
1,1.908099889755249,0.5240815773687139,900
2,1.9206949472427368,0.5206448850378635,0
2,1.8241708278656006,0.5481942725561868,300
2,1.692070484161377,0.5909919293318443,600
2,1.5216922760009766,0.6571630912315666,900
3,1.5216922760009766,0.6571630912315666,937
