epoch,loss,precision,batch
0,0,0,0
0,2.3012807369232178,0.434540638156554,0
0,2.2645771503448486,0.44158354236141634,300
0,2.219435453414917,0.4505650292561371,600
0,2.1543686389923096,0.4641731140626624,900
1,2.158731460571289,0.46323501475971396,0
1,2.1103715896606445,0.47385020007817846,300
1,2.020942449569702,0.49481864276388443,600
1,1.870728611946106,0.5345510800520162,900
2,1.9080253839492798,0.5241020420442072,0
2,1.8092882633209229,0.5527035245143934,300
2,1.669946312904358,0.5988216461047826,600
2,1.489362359046936,0.671428275278767,900
3,1.489362359046936,0.671428275278767,937
