epoch,loss,precision,batch
0,0,0,0
0,2.3019704818725586,0.4344104357005225,0
0,2.269726514816284,0.4405817147890797,300
0,2.2307119369506836,0.4482873756290425,600
0,2.1595513820648193,0.4630591373305814,900
1,2.1692793369293213,0.4609825866942196,0
1,2.1210999488830566,0.4714535024747829,300
1,2.030195951461792,0.4925632913808024,600
1,1.8790504932403564,0.5321836765948398,900
2,1.9240106344223022,0.5197476469771474,0
2,1.8224905729293823,0.5486996831992655,300
2,1.682199239730835,0.5944599048564592,600
2,1.5026333332061768,0.6654983474020869,900
3,1.5925469398498535,0.6279249766379136,0
3,1.4840978384017944,0.6738100239246267,300
3,1.3713476657867432,0.7292096854420205,600
3,1.2289854288101196,0.813679297213622,900
4,1.3269891738891602,0.7535856506418849,0
4,1.2554739713668823,0.7965119331874813,300
4,1.171298861503601,0.8537530709423691,600
4,1.061198115348816,0.9423311119161759,900
5,1.148175835609436,0.8709467391544725,0
5,1.111436128616333,0.8997368128071705,300
