epoch,loss,precision,batch
0,0,0,0
0,2.309260368347168,0.43303908632690946,0
0,2.271035671234131,0.4403277379859815,300
0,2.2342581748962402,0.44757584921735394,600
0,2.172412633895874,0.46031770594459315,900
1,2.1697916984558105,0.4608737330462073,0
1,2.1280910968780518,0.46990469602876406,300
1,2.0495574474334717,0.487910207763259,600
1,1.9090564250946045,0.5238189855757901,900
2,1.9383498430252075,0.5159027425303614,0
2,1.850932002067566,0.5402683614973212,300
2,1.7120205163955688,0.5841051496890742,600
2,1.5324618816375732,0.6525447790788833,900
3,1.5324618816375732,0.6525447790788833,937
